Seconds,Value
25947.462976,switch
25948.354976,switch
25950.54,switch
25951.372,switch
25953.280992,switch
25954.532,switch
25955.704992,switch
25957.470976,switch
25960.224,switch
25962.924,switch
25963.724,switch
25965.201984,switch
25966.876992,switch
25969.812,switch
25970.522976,switch
25972.185984,switch
25973.494976,switch
25976.252992,switch
25978.945984,switch
25979.745984,switch
25982.104,switch
25984.656,switch
25985.669984,switch
25988.532992,switch
25991.048,switch
25993.808,switch
25996.516,switch
25998.928,switch
26000.560992,switch
26002.334976,switch
26003.010976,switch
26006.012,switch
26008.314976,switch
26011.002976,switch
26012.988,switch
26013.752992,switch
26016.568,switch
26019.228992,switch
26021.678976,switch
26022.874976,switch
26023.754976,switch
26025.944992,switch
26026.760992,switch
26028.252,switch
26029.050976,switch
26030.524992,switch
26033.386976,switch
26034.710976,switch
26036.589984,switch
26039.597984,switch
26041.025984,switch
26042.720992,switch
26045.197984,switch
26046.805984,switch
26048.156992,switch
26049.144,switch
26051.576992,switch
26054.528992,switch
